group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 2, part 2",,,,,1403598.0,ns,2
"day 2, part 2",,,,,2960904.0,ns,4
"day 2, part 2",,,,,4675876.0,ns,6
"day 2, part 2",,,,,6303517.0,ns,8
"day 2, part 2",,,,,7056738.0,ns,10
"day 2, part 2",,,,,7084517.0,ns,12
"day 2, part 2",,,,,9885322.0,ns,14
"day 2, part 2",,,,,10195257.0,ns,16
"day 2, part 2",,,,,11072747.0,ns,18
"day 2, part 2",,,,,12394275.0,ns,20
"day 2, part 2",,,,,14042823.0,ns,22
"day 2, part 2",,,,,14797744.0,ns,24
"day 2, part 2",,,,,16349590.0,ns,26
"day 2, part 2",,,,,18188374.0,ns,28
"day 2, part 2",,,,,18952901.0,ns,30
"day 2, part 2",,,,,20494524.0,ns,32
"day 2, part 2",,,,,21778672.0,ns,34
"day 2, part 2",,,,,24054099.0,ns,36
"day 2, part 2",,,,,24609477.0,ns,38
"day 2, part 2",,,,,26566378.0,ns,40
"day 2, part 2",,,,,27542092.0,ns,42
"day 2, part 2",,,,,29183041.0,ns,44
"day 2, part 2",,,,,29780514.0,ns,46
"day 2, part 2",,,,,31501928.0,ns,48
"day 2, part 2",,,,,32897430.0,ns,50
"day 2, part 2",,,,,44738776.0,ns,52
"day 2, part 2",,,,,50968175.0,ns,54
"day 2, part 2",,,,,51362371.0,ns,56
"day 2, part 2",,,,,53275947.0,ns,58
"day 2, part 2",,,,,37873872.0,ns,60
"day 2, part 2",,,,,39661049.0,ns,62
"day 2, part 2",,,,,40735977.0,ns,64
"day 2, part 2",,,,,41248654.0,ns,66
"day 2, part 2",,,,,44098011.0,ns,68
"day 2, part 2",,,,,47309426.0,ns,70
"day 2, part 2",,,,,52761219.0,ns,72
"day 2, part 2",,,,,68940547.0,ns,74
"day 2, part 2",,,,,50467802.0,ns,76
"day 2, part 2",,,,,48624391.0,ns,78
"day 2, part 2",,,,,49231045.0,ns,80
"day 2, part 2",,,,,51222146.0,ns,82
"day 2, part 2",,,,,53054401.0,ns,84
"day 2, part 2",,,,,54859078.0,ns,86
"day 2, part 2",,,,,55323656.0,ns,88
"day 2, part 2",,,,,56097663.0,ns,90
"day 2, part 2",,,,,77558522.0,ns,92
"day 2, part 2",,,,,89397281.0,ns,94
"day 2, part 2",,,,,90640802.0,ns,96
"day 2, part 2",,,,,92459358.0,ns,98
"day 2, part 2",,,,,93909426.0,ns,100
"day 2, part 2",,,,,83737274.0,ns,102
"day 2, part 2",,,,,71615942.0,ns,104
"day 2, part 2",,,,,69713917.0,ns,106
"day 2, part 2",,,,,68838843.0,ns,108
"day 2, part 2",,,,,69065227.0,ns,110
"day 2, part 2",,,,,70649681.0,ns,112
"day 2, part 2",,,,,72871103.0,ns,114
"day 2, part 2",,,,,76129349.0,ns,116
"day 2, part 2",,,,,74792305.0,ns,118
"day 2, part 2",,,,,75327976.0,ns,120
"day 2, part 2",,,,,79306385.0,ns,122
"day 2, part 2",,,,,79447124.0,ns,124
"day 2, part 2",,,,,79991635.0,ns,126
"day 2, part 2",,,,,80316699.0,ns,128
"day 2, part 2",,,,,87485124.0,ns,130
"day 2, part 2",,,,,84907687.0,ns,132
"day 2, part 2",,,,,108568788.0,ns,134
"day 2, part 2",,,,,94345104.0,ns,136
"day 2, part 2",,,,,86143003.0,ns,138
"day 2, part 2",,,,,102054969.0,ns,140
"day 2, part 2",,,,,87534707.0,ns,142
"day 2, part 2",,,,,89302742.0,ns,144
"day 2, part 2",,,,,96658684.0,ns,146
"day 2, part 2",,,,,91790717.0,ns,148
"day 2, part 2",,,,,93316987.0,ns,150
"day 2, part 2",,,,,95523603.0,ns,152
"day 2, part 2",,,,,96891874.0,ns,154
"day 2, part 2",,,,,106313538.0,ns,156
"day 2, part 2",,,,,145217862.0,ns,158
"day 2, part 2",,,,,144223029.0,ns,160
"day 2, part 2",,,,,145920511.0,ns,162
"day 2, part 2",,,,,146899497.0,ns,164
"day 2, part 2",,,,,108897351.0,ns,166
"day 2, part 2",,,,,105003457.0,ns,168
"day 2, part 2",,,,,104551847.0,ns,170
"day 2, part 2",,,,,106144852.0,ns,172
"day 2, part 2",,,,,116777514.0,ns,174
"day 2, part 2",,,,,143816691.0,ns,176
"day 2, part 2",,,,,129103552.0,ns,178
"day 2, part 2",,,,,127009853.0,ns,180
"day 2, part 2",,,,,117762514.0,ns,182
"day 2, part 2",,,,,136767843.0,ns,184
"day 2, part 2",,,,,132220599.0,ns,186
"day 2, part 2",,,,,159658028.0,ns,188
"day 2, part 2",,,,,149186957.0,ns,190
"day 2, part 2",,,,,133323238.0,ns,192
"day 2, part 2",,,,,124075803.0,ns,194
"day 2, part 2",,,,,140626175.0,ns,196
"day 2, part 2",,,,,150405474.0,ns,198
"day 2, part 2",,,,,180651365.0,ns,200
