group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 3, part 1",,,,,1014364.0,ns,1
"day 3, part 1",,,,,2851876.0,ns,2
"day 3, part 1",,,,,3349564.0,ns,3
"day 3, part 1",,,,,4011010.0,ns,4
"day 3, part 1",,,,,6661685.0,ns,5
"day 3, part 1",,,,,10678104.0,ns,6
"day 3, part 1",,,,,11581853.0,ns,7
"day 3, part 1",,,,,9794024.0,ns,8
"day 3, part 1",,,,,9932279.0,ns,9
"day 3, part 1",,,,,11661177.0,ns,10
"day 3, part 1",,,,,11743939.0,ns,11
"day 3, part 1",,,,,13648831.0,ns,12
"day 3, part 1",,,,,13879514.0,ns,13
"day 3, part 1",,,,,14862567.0,ns,14
"day 3, part 1",,,,,17005688.0,ns,15
"day 3, part 1",,,,,17027123.0,ns,16
"day 3, part 1",,,,,18123273.0,ns,17
"day 3, part 1",,,,,19823517.0,ns,18
"day 3, part 1",,,,,19693903.0,ns,19
"day 3, part 1",,,,,20545441.0,ns,20
"day 3, part 1",,,,,21163380.0,ns,21
"day 3, part 1",,,,,22569832.0,ns,22
"day 3, part 1",,,,,23942932.0,ns,23
"day 3, part 1",,,,,23979226.0,ns,24
"day 3, part 1",,,,,35741760.0,ns,25
"day 3, part 1",,,,,41928001.0,ns,26
"day 3, part 1",,,,,37366035.0,ns,27
"day 3, part 1",,,,,32344817.0,ns,28
"day 3, part 1",,,,,32530332.0,ns,29
"day 3, part 1",,,,,34682813.0,ns,30
"day 3, part 1",,,,,33928155.0,ns,31
"day 3, part 1",,,,,34767017.0,ns,32
"day 3, part 1",,,,,44332259.0,ns,33
"day 3, part 1",,,,,57591606.0,ns,34
"day 3, part 1",,,,,40330865.0,ns,35
"day 3, part 1",,,,,39998608.0,ns,36
"day 3, part 1",,,,,43686145.0,ns,37
"day 3, part 1",,,,,45453111.0,ns,38
"day 3, part 1",,,,,42010286.0,ns,39
"day 3, part 1",,,,,43526279.0,ns,40
"day 3, part 1",,,,,43853323.0,ns,41
"day 3, part 1",,,,,45868113.0,ns,42
"day 3, part 1",,,,,46495212.0,ns,43
"day 3, part 1",,,,,46183119.0,ns,44
"day 3, part 1",,,,,49136070.0,ns,45
"day 3, part 1",,,,,48217428.0,ns,46
"day 3, part 1",,,,,49571583.0,ns,47
"day 3, part 1",,,,,54933951.0,ns,48
"day 3, part 1",,,,,82273906.0,ns,49
"day 3, part 1",,,,,79780330.0,ns,50
"day 3, part 1",,,,,80747380.0,ns,51
"day 3, part 1",,,,,84101483.0,ns,52
"day 3, part 1",,,,,83648295.0,ns,53
"day 3, part 1",,,,,86461784.0,ns,54
"day 3, part 1",,,,,92675253.0,ns,55
"day 3, part 1",,,,,92023730.0,ns,56
"day 3, part 1",,,,,90601846.0,ns,57
"day 3, part 1",,,,,91890183.0,ns,58
"day 3, part 1",,,,,93119451.0,ns,59
"day 3, part 1",,,,,94021435.0,ns,60
"day 3, part 1",,,,,96961619.0,ns,61
"day 3, part 1",,,,,76022744.0,ns,62
"day 3, part 1",,,,,67824463.0,ns,63
"day 3, part 1",,,,,69090309.0,ns,64
"day 3, part 1",,,,,71199925.0,ns,65
"day 3, part 1",,,,,100906081.0,ns,66
"day 3, part 1",,,,,109789079.0,ns,67
"day 3, part 1",,,,,120603491.0,ns,68
"day 3, part 1",,,,,113462251.0,ns,69
"day 3, part 1",,,,,112984744.0,ns,70
"day 3, part 1",,,,,78762441.0,ns,71
"day 3, part 1",,,,,83716983.0,ns,72
"day 3, part 1",,,,,81965517.0,ns,73
"day 3, part 1",,,,,81964745.0,ns,74
"day 3, part 1",,,,,84618268.0,ns,75
"day 3, part 1",,,,,80475526.0,ns,76
"day 3, part 1",,,,,84070941.0,ns,77
"day 3, part 1",,,,,84706379.0,ns,78
"day 3, part 1",,,,,89044505.0,ns,79
"day 3, part 1",,,,,96784785.0,ns,80
"day 3, part 1",,,,,87409099.0,ns,81
"day 3, part 1",,,,,101056219.0,ns,82
"day 3, part 1",,,,,135759585.0,ns,83
"day 3, part 1",,,,,139506178.0,ns,84
"day 3, part 1",,,,,139634787.0,ns,85
"day 3, part 1",,,,,141487672.0,ns,86
"day 3, part 1",,,,,142566171.0,ns,87
"day 3, part 1",,,,,148186143.0,ns,88
"day 3, part 1",,,,,113377934.0,ns,89
"day 3, part 1",,,,,111316020.0,ns,90
"day 3, part 1",,,,,127743706.0,ns,91
"day 3, part 1",,,,,150730424.0,ns,92
"day 3, part 1",,,,,158953510.0,ns,93
"day 3, part 1",,,,,138097009.0,ns,94
"day 3, part 1",,,,,106988525.0,ns,95
"day 3, part 1",,,,,147881886.0,ns,96
"day 3, part 1",,,,,167486946.0,ns,97
"day 3, part 1",,,,,118664619.0,ns,98
"day 3, part 1",,,,,113413140.0,ns,99
"day 3, part 1",,,,,119112353.0,ns,100
