group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 3, part 1",,,,,1287767.0,ns,1
"day 3, part 1",,,,,2723498.0,ns,2
"day 3, part 1",,,,,3265367.0,ns,3
"day 3, part 1",,,,,3822268.0,ns,4
"day 3, part 1",,,,,5165734.0,ns,5
"day 3, part 1",,,,,6012897.0,ns,6
"day 3, part 1",,,,,6525946.0,ns,7
"day 3, part 1",,,,,8031662.0,ns,8
"day 3, part 1",,,,,8831840.0,ns,9
"day 3, part 1",,,,,10938001.0,ns,10
"day 3, part 1",,,,,13265265.0,ns,11
"day 3, part 1",,,,,14235352.0,ns,12
"day 3, part 1",,,,,13854495.0,ns,13
"day 3, part 1",,,,,14904407.0,ns,14
"day 3, part 1",,,,,14611819.0,ns,15
"day 3, part 1",,,,,15728552.0,ns,16
"day 3, part 1",,,,,16959407.0,ns,17
"day 3, part 1",,,,,18745217.0,ns,18
"day 3, part 1",,,,,19186773.0,ns,19
"day 3, part 1",,,,,20220429.0,ns,20
"day 3, part 1",,,,,19995434.0,ns,21
"day 3, part 1",,,,,23189317.0,ns,22
"day 3, part 1",,,,,31849636.0,ns,23
"day 3, part 1",,,,,25147973.0,ns,24
"day 3, part 1",,,,,24927289.0,ns,25
"day 3, part 1",,,,,27055637.0,ns,26
"day 3, part 1",,,,,26130309.0,ns,27
"day 3, part 1",,,,,29198679.0,ns,28
"day 3, part 1",,,,,31972254.0,ns,29
"day 3, part 1",,,,,35598160.0,ns,30
"day 3, part 1",,,,,37380917.0,ns,31
"day 3, part 1",,,,,35986603.0,ns,32
"day 3, part 1",,,,,32678429.0,ns,33
"day 3, part 1",,,,,34233211.0,ns,34
"day 3, part 1",,,,,34340631.0,ns,35
"day 3, part 1",,,,,34938220.0,ns,36
"day 3, part 1",,,,,39468437.0,ns,37
"day 3, part 1",,,,,48420759.0,ns,38
"day 3, part 1",,,,,49669976.0,ns,39
"day 3, part 1",,,,,51337216.0,ns,40
"day 3, part 1",,,,,49279446.0,ns,41
"day 3, part 1",,,,,43544103.0,ns,42
"day 3, part 1",,,,,41938010.0,ns,43
"day 3, part 1",,,,,48905437.0,ns,44
"day 3, part 1",,,,,46500707.0,ns,45
"day 3, part 1",,,,,45345921.0,ns,46
"day 3, part 1",,,,,47652939.0,ns,47
"day 3, part 1",,,,,46633250.0,ns,48
"day 3, part 1",,,,,48087249.0,ns,49
"day 3, part 1",,,,,48613683.0,ns,50
"day 3, part 1",,,,,50079493.0,ns,51
"day 3, part 1",,,,,52895742.0,ns,52
"day 3, part 1",,,,,53111891.0,ns,53
"day 3, part 1",,,,,57382697.0,ns,54
"day 3, part 1",,,,,65799614.0,ns,55
"day 3, part 1",,,,,57063913.0,ns,56
"day 3, part 1",,,,,56256527.0,ns,57
"day 3, part 1",,,,,57994089.0,ns,58
"day 3, part 1",,,,,57485039.0,ns,59
"day 3, part 1",,,,,60673740.0,ns,60
"day 3, part 1",,,,,71828171.0,ns,61
"day 3, part 1",,,,,74703069.0,ns,62
"day 3, part 1",,,,,64066270.0,ns,63
"day 3, part 1",,,,,65098353.0,ns,64
"day 3, part 1",,,,,69687585.0,ns,65
"day 3, part 1",,,,,76797651.0,ns,66
"day 3, part 1",,,,,69565909.0,ns,67
"day 3, part 1",,,,,97981059.0,ns,68
"day 3, part 1",,,,,86716901.0,ns,69
"day 3, part 1",,,,,83163112.0,ns,70
"day 3, part 1",,,,,90758398.0,ns,71
"day 3, part 1",,,,,83540996.0,ns,72
"day 3, part 1",,,,,87571332.0,ns,73
"day 3, part 1",,,,,85850820.0,ns,74
"day 3, part 1",,,,,86485077.0,ns,75
"day 3, part 1",,,,,94636490.0,ns,76
"day 3, part 1",,,,,91026246.0,ns,77
"day 3, part 1",,,,,87213426.0,ns,78
"day 3, part 1",,,,,85256861.0,ns,79
"day 3, part 1",,,,,84789038.0,ns,80
"day 3, part 1",,,,,83736450.0,ns,81
"day 3, part 1",,,,,86408421.0,ns,82
"day 3, part 1",,,,,97310971.0,ns,83
"day 3, part 1",,,,,116505776.0,ns,84
"day 3, part 1",,,,,89758463.0,ns,85
"day 3, part 1",,,,,90364423.0,ns,86
"day 3, part 1",,,,,84215633.0,ns,87
"day 3, part 1",,,,,83338344.0,ns,88
"day 3, part 1",,,,,90393228.0,ns,89
"day 3, part 1",,,,,102899116.0,ns,90
"day 3, part 1",,,,,94074023.0,ns,91
"day 3, part 1",,,,,102344249.0,ns,92
"day 3, part 1",,,,,102582353.0,ns,93
"day 3, part 1",,,,,103973030.0,ns,94
"day 3, part 1",,,,,102822109.0,ns,95
"day 3, part 1",,,,,94055641.0,ns,96
"day 3, part 1",,,,,94596504.0,ns,97
"day 3, part 1",,,,,94880081.0,ns,98
"day 3, part 1",,,,,94731851.0,ns,99
"day 3, part 1",,,,,103749992.0,ns,100
