group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 3, part 1",,,,,1209591.0,ns,1
"day 3, part 1",,,,,1989618.0,ns,2
"day 3, part 1",,,,,2868604.0,ns,3
"day 3, part 1",,,,,3693896.0,ns,4
"day 3, part 1",,,,,5082369.0,ns,5
"day 3, part 1",,,,,6656036.0,ns,6
"day 3, part 1",,,,,8316122.0,ns,7
"day 3, part 1",,,,,8995018.0,ns,8
"day 3, part 1",,,,,9182906.0,ns,9
"day 3, part 1",,,,,10003787.0,ns,10
"day 3, part 1",,,,,10766451.0,ns,11
"day 3, part 1",,,,,11584677.0,ns,12
"day 3, part 1",,,,,13157506.0,ns,13
"day 3, part 1",,,,,14341516.0,ns,14
"day 3, part 1",,,,,14395305.0,ns,15
"day 3, part 1",,,,,16272324.0,ns,16
"day 3, part 1",,,,,16560485.0,ns,17
"day 3, part 1",,,,,17173139.0,ns,18
"day 3, part 1",,,,,18931845.0,ns,19
"day 3, part 1",,,,,19457303.0,ns,20
"day 3, part 1",,,,,22218353.0,ns,21
"day 3, part 1",,,,,23681973.0,ns,22
"day 3, part 1",,,,,22050081.0,ns,23
"day 3, part 1",,,,,25002097.0,ns,24
"day 3, part 1",,,,,24168754.0,ns,25
"day 3, part 1",,,,,27429836.0,ns,26
"day 3, part 1",,,,,30963248.0,ns,27
"day 3, part 1",,,,,32966766.0,ns,28
"day 3, part 1",,,,,33757975.0,ns,29
"day 3, part 1",,,,,32136193.0,ns,30
"day 3, part 1",,,,,30938784.0,ns,31
"day 3, part 1",,,,,31462133.0,ns,32
"day 3, part 1",,,,,32459928.0,ns,33
"day 3, part 1",,,,,34692894.0,ns,34
"day 3, part 1",,,,,34870507.0,ns,35
"day 3, part 1",,,,,34402253.0,ns,36
"day 3, part 1",,,,,36384718.0,ns,37
"day 3, part 1",,,,,38466457.0,ns,38
"day 3, part 1",,,,,38504653.0,ns,39
"day 3, part 1",,,,,39679958.0,ns,40
"day 3, part 1",,,,,42315769.0,ns,41
"day 3, part 1",,,,,41954249.0,ns,42
"day 3, part 1",,,,,43970092.0,ns,43
"day 3, part 1",,,,,50547262.0,ns,44
"day 3, part 1",,,,,44895063.0,ns,45
"day 3, part 1",,,,,44922770.0,ns,46
"day 3, part 1",,,,,50018511.0,ns,47
"day 3, part 1",,,,,49800296.0,ns,48
"day 3, part 1",,,,,49830655.0,ns,49
"day 3, part 1",,,,,49519158.0,ns,50
"day 3, part 1",,,,,49982160.0,ns,51
"day 3, part 1",,,,,52351587.0,ns,52
"day 3, part 1",,,,,56292895.0,ns,53
"day 3, part 1",,,,,63606019.0,ns,54
"day 3, part 1",,,,,60546740.0,ns,55
"day 3, part 1",,,,,57803829.0,ns,56
"day 3, part 1",,,,,56401967.0,ns,57
"day 3, part 1",,,,,57701586.0,ns,58
"day 3, part 1",,,,,58890374.0,ns,59
"day 3, part 1",,,,,58374351.0,ns,60
"day 3, part 1",,,,,61112381.0,ns,61
"day 3, part 1",,,,,61661958.0,ns,62
"day 3, part 1",,,,,66035486.0,ns,63
"day 3, part 1",,,,,63654239.0,ns,64
"day 3, part 1",,,,,69134712.0,ns,65
"day 3, part 1",,,,,76536286.0,ns,66
"day 3, part 1",,,,,70361785.0,ns,67
"day 3, part 1",,,,,73302867.0,ns,68
"day 3, part 1",,,,,75659792.0,ns,69
"day 3, part 1",,,,,75443952.0,ns,70
"day 3, part 1",,,,,84080720.0,ns,71
"day 3, part 1",,,,,71578421.0,ns,72
"day 3, part 1",,,,,71779651.0,ns,73
"day 3, part 1",,,,,72734646.0,ns,74
"day 3, part 1",,,,,73941350.0,ns,75
"day 3, part 1",,,,,75090104.0,ns,76
"day 3, part 1",,,,,76328721.0,ns,77
"day 3, part 1",,,,,82797691.0,ns,78
"day 3, part 1",,,,,80817922.0,ns,79
"day 3, part 1",,,,,85874516.0,ns,80
"day 3, part 1",,,,,80770176.0,ns,81
"day 3, part 1",,,,,102596532.0,ns,82
"day 3, part 1",,,,,130861118.0,ns,83
"day 3, part 1",,,,,130472479.0,ns,84
"day 3, part 1",,,,,87094941.0,ns,85
"day 3, part 1",,,,,84879104.0,ns,86
"day 3, part 1",,,,,86216996.0,ns,87
"day 3, part 1",,,,,86153627.0,ns,88
"day 3, part 1",,,,,88503657.0,ns,89
"day 3, part 1",,,,,89526632.0,ns,90
"day 3, part 1",,,,,88908978.0,ns,91
"day 3, part 1",,,,,92610041.0,ns,92
"day 3, part 1",,,,,94610740.0,ns,93
"day 3, part 1",,,,,100712501.0,ns,94
"day 3, part 1",,,,,102449565.0,ns,95
"day 3, part 1",,,,,104363826.0,ns,96
"day 3, part 1",,,,,102270892.0,ns,97
"day 3, part 1",,,,,102053737.0,ns,98
"day 3, part 1",,,,,102064199.0,ns,99
"day 3, part 1",,,,,105963845.0,ns,100
