group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 4, part 1",,,,,2023072.0,ns,2
"day 4, part 1",,,,,4189370.0,ns,4
"day 4, part 1",,,,,5535333.0,ns,6
"day 4, part 1",,,,,6890564.0,ns,8
"day 4, part 1",,,,,9881939.0,ns,10
"day 4, part 1",,,,,10531865.0,ns,12
"day 4, part 1",,,,,14051874.0,ns,14
"day 4, part 1",,,,,15017235.0,ns,16
"day 4, part 1",,,,,16653135.0,ns,18
"day 4, part 1",,,,,13216845.0,ns,20
"day 4, part 1",,,,,14991471.0,ns,22
"day 4, part 1",,,,,18183645.0,ns,24
"day 4, part 1",,,,,24864284.0,ns,26
"day 4, part 1",,,,,21596434.0,ns,28
"day 4, part 1",,,,,19732297.0,ns,30
"day 4, part 1",,,,,20310112.0,ns,32
"day 4, part 1",,,,,22374642.0,ns,34
"day 4, part 1",,,,,23886479.0,ns,36
"day 4, part 1",,,,,24049440.0,ns,38
"day 4, part 1",,,,,27541474.0,ns,40
"day 4, part 1",,,,,26656066.0,ns,42
"day 4, part 1",,,,,29453456.0,ns,44
"day 4, part 1",,,,,38729676.0,ns,46
"day 4, part 1",,,,,33637687.0,ns,48
"day 4, part 1",,,,,42375858.0,ns,50
"day 4, part 1",,,,,36684491.0,ns,52
"day 4, part 1",,,,,38267176.0,ns,54
"day 4, part 1",,,,,42177248.0,ns,56
"day 4, part 1",,,,,53397671.0,ns,58
"day 4, part 1",,,,,52330551.0,ns,60
"day 4, part 1",,,,,42800404.0,ns,62
"day 4, part 1",,,,,44496400.0,ns,64
"day 4, part 1",,,,,48772170.0,ns,66
"day 4, part 1",,,,,65247590.0,ns,68
"day 4, part 1",,,,,66218973.0,ns,70
"day 4, part 1",,,,,67081382.0,ns,72
"day 4, part 1",,,,,69239090.0,ns,74
"day 4, part 1",,,,,50212701.0,ns,76
"day 4, part 1",,,,,48218932.0,ns,78
"day 4, part 1",,,,,49489737.0,ns,80
"day 4, part 1",,,,,50574969.0,ns,82
"day 4, part 1",,,,,51066979.0,ns,84
"day 4, part 1",,,,,53826079.0,ns,86
"day 4, part 1",,,,,55208544.0,ns,88
"day 4, part 1",,,,,63476948.0,ns,90
"day 4, part 1",,,,,72320720.0,ns,92
"day 4, part 1",,,,,67321893.0,ns,94
"day 4, part 1",,,,,60138235.0,ns,96
"day 4, part 1",,,,,61502570.0,ns,98
"day 4, part 1",,,,,62685888.0,ns,100
"day 4, part 1",,,,,63940011.0,ns,102
"day 4, part 1",,,,,64270478.0,ns,104
"day 4, part 1",,,,,66370923.0,ns,106
"day 4, part 1",,,,,82430672.0,ns,108
"day 4, part 1",,,,,100257904.0,ns,110
"day 4, part 1",,,,,111715660.0,ns,112
"day 4, part 1",,,,,103957147.0,ns,114
"day 4, part 1",,,,,95672621.0,ns,116
"day 4, part 1",,,,,135022376.0,ns,118
"day 4, part 1",,,,,88791505.0,ns,120
"day 4, part 1",,,,,115845401.0,ns,122
"day 4, part 1",,,,,119705540.0,ns,124
"day 4, part 1",,,,,119681649.0,ns,126
"day 4, part 1",,,,,124040393.0,ns,128
"day 4, part 1",,,,,96585106.0,ns,130
"day 4, part 1",,,,,109745892.0,ns,132
"day 4, part 1",,,,,89615057.0,ns,134
"day 4, part 1",,,,,94336176.0,ns,136
"day 4, part 1",,,,,104190652.0,ns,138
"day 4, part 1",,,,,91159179.0,ns,140
"day 4, part 1",,,,,89642677.0,ns,142
"day 4, part 1",,,,,89764059.0,ns,144
"day 4, part 1",,,,,91179693.0,ns,146
"day 4, part 1",,,,,97267383.0,ns,148
"day 4, part 1",,,,,114557365.0,ns,150
"day 4, part 1",,,,,144809850.0,ns,152
"day 4, part 1",,,,,124935681.0,ns,154
"day 4, part 1",,,,,99545586.0,ns,156
"day 4, part 1",,,,,103423342.0,ns,158
"day 4, part 1",,,,,116522545.0,ns,160
"day 4, part 1",,,,,114060077.0,ns,162
"day 4, part 1",,,,,127635358.0,ns,164
"day 4, part 1",,,,,125248734.0,ns,166
"day 4, part 1",,,,,160105180.0,ns,168
"day 4, part 1",,,,,111600175.0,ns,170
"day 4, part 1",,,,,113283737.0,ns,172
"day 4, part 1",,,,,137519259.0,ns,174
"day 4, part 1",,,,,121167766.0,ns,176
"day 4, part 1",,,,,134620976.0,ns,178
"day 4, part 1",,,,,115980074.0,ns,180
"day 4, part 1",,,,,159035903.0,ns,182
"day 4, part 1",,,,,157026290.0,ns,184
"day 4, part 1",,,,,129916588.0,ns,186
"day 4, part 1",,,,,143619557.0,ns,188
"day 4, part 1",,,,,130004916.0,ns,190
"day 4, part 1",,,,,135858280.0,ns,192
"day 4, part 1",,,,,124376598.0,ns,194
"day 4, part 1",,,,,164717251.0,ns,196
"day 4, part 1",,,,,178221281.0,ns,198
"day 4, part 1",,,,,129040179.0,ns,200
