group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 1, part 2",,,,,1223510.0,ns,9
"day 1, part 2",,,,,1492262.0,ns,18
"day 1, part 2",,,,,2833794.0,ns,27
"day 1, part 2",,,,,3778335.0,ns,36
"day 1, part 2",,,,,4549669.0,ns,45
"day 1, part 2",,,,,5887255.0,ns,54
"day 1, part 2",,,,,6713682.0,ns,63
"day 1, part 2",,,,,8070779.0,ns,72
"day 1, part 2",,,,,8315857.0,ns,81
"day 1, part 2",,,,,11212127.0,ns,90
"day 1, part 2",,,,,13358341.0,ns,99
"day 1, part 2",,,,,11099558.0,ns,108
"day 1, part 2",,,,,14397056.0,ns,117
"day 1, part 2",,,,,12827053.0,ns,126
"day 1, part 2",,,,,14866026.0,ns,135
"day 1, part 2",,,,,15357382.0,ns,144
"day 1, part 2",,,,,16003070.0,ns,153
"day 1, part 2",,,,,17470877.0,ns,162
"day 1, part 2",,,,,18642214.0,ns,171
"day 1, part 2",,,,,17895664.0,ns,180
"day 1, part 2",,,,,20162410.0,ns,189
"day 1, part 2",,,,,21368189.0,ns,198
"day 1, part 2",,,,,21400458.0,ns,207
"day 1, part 2",,,,,22064739.0,ns,216
"day 1, part 2",,,,,22007254.0,ns,225
"day 1, part 2",,,,,23355745.0,ns,234
"day 1, part 2",,,,,23691395.0,ns,243
"day 1, part 2",,,,,27327466.0,ns,252
"day 1, part 2",,,,,25372383.0,ns,261
"day 1, part 2",,,,,31248352.0,ns,270
"day 1, part 2",,,,,34848004.0,ns,279
"day 1, part 2",,,,,29220433.0,ns,288
"day 1, part 2",,,,,30765419.0,ns,297
"day 1, part 2",,,,,30824806.0,ns,306
"day 1, part 2",,,,,31622773.0,ns,315
"day 1, part 2",,,,,33932935.0,ns,324
"day 1, part 2",,,,,34160558.0,ns,333
"day 1, part 2",,,,,34632913.0,ns,342
"day 1, part 2",,,,,35947443.0,ns,351
"day 1, part 2",,,,,37570807.0,ns,360
"day 1, part 2",,,,,36947967.0,ns,369
"day 1, part 2",,,,,41906120.0,ns,378
"day 1, part 2",,,,,44963886.0,ns,387
"day 1, part 2",,,,,44703638.0,ns,396
"day 1, part 2",,,,,44401803.0,ns,405
"day 1, part 2",,,,,43483758.0,ns,414
"day 1, part 2",,,,,43567086.0,ns,423
"day 1, part 2",,,,,42102933.0,ns,432
"day 1, part 2",,,,,51810378.0,ns,441
"day 1, part 2",,,,,45656744.0,ns,450
"day 1, part 2",,,,,45575195.0,ns,459
"day 1, part 2",,,,,48862965.0,ns,468
"day 1, part 2",,,,,49299030.0,ns,477
"day 1, part 2",,,,,52791481.0,ns,486
"day 1, part 2",,,,,50949970.0,ns,495
"day 1, part 2",,,,,52676753.0,ns,504
"day 1, part 2",,,,,58467372.0,ns,513
"day 1, part 2",,,,,65928277.0,ns,522
"day 1, part 2",,,,,52132818.0,ns,531
"day 1, part 2",,,,,53949474.0,ns,540
"day 1, part 2",,,,,71119790.0,ns,549
"day 1, part 2",,,,,79898256.0,ns,558
"day 1, part 2",,,,,82221705.0,ns,567
"day 1, part 2",,,,,87190399.0,ns,576
"day 1, part 2",,,,,84411458.0,ns,585
"day 1, part 2",,,,,69329080.0,ns,594
"day 1, part 2",,,,,62253456.0,ns,603
"day 1, part 2",,,,,67642336.0,ns,612
"day 1, part 2",,,,,70295710.0,ns,621
"day 1, part 2",,,,,67968405.0,ns,630
"day 1, part 2",,,,,67520241.0,ns,639
"day 1, part 2",,,,,71060947.0,ns,648
"day 1, part 2",,,,,64638961.0,ns,657
"day 1, part 2",,,,,68404227.0,ns,666
"day 1, part 2",,,,,77129104.0,ns,675
"day 1, part 2",,,,,73457227.0,ns,684
"day 1, part 2",,,,,69230493.0,ns,693
"day 1, part 2",,,,,73256463.0,ns,702
"day 1, part 2",,,,,79291078.0,ns,711
"day 1, part 2",,,,,73605442.0,ns,720
"day 1, part 2",,,,,73144709.0,ns,729
"day 1, part 2",,,,,102601263.0,ns,738
"day 1, part 2",,,,,97512615.0,ns,747
"day 1, part 2",,,,,74952959.0,ns,756
"day 1, part 2",,,,,79175388.0,ns,765
"day 1, part 2",,,,,91927041.0,ns,774
"day 1, part 2",,,,,79413328.0,ns,783
"day 1, part 2",,,,,78655753.0,ns,792
"day 1, part 2",,,,,100347827.0,ns,801
"day 1, part 2",,,,,115393575.0,ns,810
"day 1, part 2",,,,,124727197.0,ns,819
"day 1, part 2",,,,,99444558.0,ns,828
"day 1, part 2",,,,,83485575.0,ns,837
"day 1, part 2",,,,,81518876.0,ns,846
"day 1, part 2",,,,,115493756.0,ns,855
"day 1, part 2",,,,,124949277.0,ns,864
"day 1, part 2",,,,,123947708.0,ns,873
"day 1, part 2",,,,,89182907.0,ns,882
"day 1, part 2",,,,,88046609.0,ns,891
"day 1, part 2",,,,,125568498.0,ns,900
