group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 1, part 2",,,,,1061236.0,ns,9
"day 1, part 2",,,,,1574615.0,ns,18
"day 1, part 2",,,,,2753519.0,ns,27
"day 1, part 2",,,,,3589389.0,ns,36
"day 1, part 2",,,,,4280396.0,ns,45
"day 1, part 2",,,,,5307289.0,ns,54
"day 1, part 2",,,,,5612248.0,ns,63
"day 1, part 2",,,,,6906074.0,ns,72
"day 1, part 2",,,,,8149764.0,ns,81
"day 1, part 2",,,,,13500102.0,ns,90
"day 1, part 2",,,,,13019220.0,ns,99
"day 1, part 2",,,,,14476035.0,ns,108
"day 1, part 2",,,,,11528254.0,ns,117
"day 1, part 2",,,,,14352480.0,ns,126
"day 1, part 2",,,,,14246951.0,ns,135
"day 1, part 2",,,,,15643342.0,ns,144
"day 1, part 2",,,,,16269187.0,ns,153
"day 1, part 2",,,,,20790841.0,ns,162
"day 1, part 2",,,,,23524850.0,ns,171
"day 1, part 2",,,,,26884189.0,ns,180
"day 1, part 2",,,,,27507165.0,ns,189
"day 1, part 2",,,,,28819179.0,ns,198
"day 1, part 2",,,,,22899023.0,ns,207
"day 1, part 2",,,,,22604051.0,ns,216
"day 1, part 2",,,,,25907833.0,ns,225
"day 1, part 2",,,,,23025011.0,ns,234
"day 1, part 2",,,,,25622123.0,ns,243
"day 1, part 2",,,,,24721441.0,ns,252
"day 1, part 2",,,,,25698589.0,ns,261
"day 1, part 2",,,,,30337462.0,ns,270
"day 1, part 2",,,,,26389557.0,ns,279
"day 1, part 2",,,,,27941581.0,ns,288
"day 1, part 2",,,,,28488881.0,ns,297
"day 1, part 2",,,,,31598601.0,ns,306
"day 1, part 2",,,,,32379059.0,ns,315
"day 1, part 2",,,,,33003442.0,ns,324
"day 1, part 2",,,,,34593873.0,ns,333
"day 1, part 2",,,,,35614912.0,ns,342
"day 1, part 2",,,,,35707929.0,ns,351
"day 1, part 2",,,,,36992382.0,ns,360
"day 1, part 2",,,,,40509643.0,ns,369
"day 1, part 2",,,,,44029702.0,ns,378
"day 1, part 2",,,,,43953180.0,ns,387
"day 1, part 2",,,,,40758958.0,ns,396
"day 1, part 2",,,,,41956694.0,ns,405
"day 1, part 2",,,,,52481039.0,ns,414
"day 1, part 2",,,,,59510693.0,ns,423
"day 1, part 2",,,,,53525694.0,ns,432
"day 1, part 2",,,,,46539418.0,ns,441
"day 1, part 2",,,,,50853154.0,ns,450
"day 1, part 2",,,,,53412123.0,ns,459
"day 1, part 2",,,,,51115672.0,ns,468
"day 1, part 2",,,,,55986774.0,ns,477
"day 1, part 2",,,,,73776857.0,ns,486
"day 1, part 2",,,,,59823712.0,ns,495
"day 1, part 2",,,,,70958468.0,ns,504
"day 1, part 2",,,,,60564108.0,ns,513
"day 1, part 2",,,,,51789963.0,ns,522
"day 1, part 2",,,,,52978133.0,ns,531
"day 1, part 2",,,,,50991911.0,ns,540
"day 1, part 2",,,,,51658921.0,ns,549
"day 1, part 2",,,,,53071837.0,ns,558
"day 1, part 2",,,,,57120508.0,ns,567
"day 1, part 2",,,,,61778044.0,ns,576
"day 1, part 2",,,,,61832144.0,ns,585
"day 1, part 2",,,,,70737580.0,ns,594
"day 1, part 2",,,,,66269383.0,ns,603
"day 1, part 2",,,,,75153006.0,ns,612
"day 1, part 2",,,,,85544385.0,ns,621
"day 1, part 2",,,,,85256955.0,ns,630
"day 1, part 2",,,,,75510746.0,ns,639
"day 1, part 2",,,,,66447536.0,ns,648
"day 1, part 2",,,,,61509467.0,ns,657
"day 1, part 2",,,,,63222673.0,ns,666
"day 1, part 2",,,,,63430494.0,ns,675
"day 1, part 2",,,,,63538222.0,ns,684
"day 1, part 2",,,,,67966355.0,ns,693
"day 1, part 2",,,,,98735338.0,ns,702
"day 1, part 2",,,,,111387849.0,ns,711
"day 1, part 2",,,,,92766329.0,ns,720
"day 1, part 2",,,,,90536463.0,ns,729
"day 1, part 2",,,,,101801517.0,ns,738
"day 1, part 2",,,,,104276768.0,ns,747
"day 1, part 2",,,,,109583743.0,ns,756
"day 1, part 2",,,,,111815941.0,ns,765
"day 1, part 2",,,,,93092109.0,ns,774
"day 1, part 2",,,,,89290247.0,ns,783
"day 1, part 2",,,,,104775978.0,ns,792
"day 1, part 2",,,,,91659115.0,ns,801
"day 1, part 2",,,,,106356541.0,ns,810
"day 1, part 2",,,,,89319694.0,ns,819
"day 1, part 2",,,,,114163703.0,ns,828
"day 1, part 2",,,,,116026482.0,ns,837
"day 1, part 2",,,,,97624945.0,ns,846
"day 1, part 2",,,,,119557583.0,ns,855
"day 1, part 2",,,,,121126452.0,ns,864
"day 1, part 2",,,,,111843685.0,ns,873
"day 1, part 2",,,,,98052533.0,ns,882
"day 1, part 2",,,,,107838922.0,ns,891
"day 1, part 2",,,,,124068074.0,ns,900
