group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 2, part 1",,,,,1510553.0,ns,1
"day 2, part 1",,,,,2491742.0,ns,2
"day 2, part 1",,,,,4067990.0,ns,3
"day 2, part 1",,,,,6459077.0,ns,4
"day 2, part 1",,,,,6611713.0,ns,5
"day 2, part 1",,,,,10847229.0,ns,6
"day 2, part 1",,,,,9339196.0,ns,7
"day 2, part 1",,,,,14977433.0,ns,8
"day 2, part 1",,,,,17193155.0,ns,9
"day 2, part 1",,,,,16707878.0,ns,10
"day 2, part 1",,,,,20253478.0,ns,11
"day 2, part 1",,,,,19550794.0,ns,12
"day 2, part 1",,,,,21712157.0,ns,13
"day 2, part 1",,,,,21337856.0,ns,14
"day 2, part 1",,,,,22071103.0,ns,15
"day 2, part 1",,,,,26395893.0,ns,16
"day 2, part 1",,,,,25568621.0,ns,17
"day 2, part 1",,,,,28408620.0,ns,18
"day 2, part 1",,,,,29459612.0,ns,19
"day 2, part 1",,,,,26145960.0,ns,20
"day 2, part 1",,,,,27501145.0,ns,21
"day 2, part 1",,,,,28823301.0,ns,22
"day 2, part 1",,,,,30996700.0,ns,23
"day 2, part 1",,,,,33316009.0,ns,24
"day 2, part 1",,,,,35800580.0,ns,25
"day 2, part 1",,,,,35571347.0,ns,26
"day 2, part 1",,,,,37941145.0,ns,27
"day 2, part 1",,,,,42228555.0,ns,28
"day 2, part 1",,,,,37053913.0,ns,29
"day 2, part 1",,,,,38608210.0,ns,30
"day 2, part 1",,,,,39742269.0,ns,31
"day 2, part 1",,,,,48372058.0,ns,32
"day 2, part 1",,,,,43231752.0,ns,33
"day 2, part 1",,,,,44487212.0,ns,34
"day 2, part 1",,,,,45609693.0,ns,35
"day 2, part 1",,,,,46861983.0,ns,36
"day 2, part 1",,,,,46941974.0,ns,37
"day 2, part 1",,,,,48806236.0,ns,38
"day 2, part 1",,,,,50022188.0,ns,39
"day 2, part 1",,,,,49237529.0,ns,40
"day 2, part 1",,,,,50334179.0,ns,41
"day 2, part 1",,,,,51440554.0,ns,42
"day 2, part 1",,,,,52147437.0,ns,43
"day 2, part 1",,,,,56888810.0,ns,44
"day 2, part 1",,,,,59625621.0,ns,45
"day 2, part 1",,,,,59759297.0,ns,46
"day 2, part 1",,,,,59782110.0,ns,47
"day 2, part 1",,,,,59006729.0,ns,48
"day 2, part 1",,,,,61464122.0,ns,49
"day 2, part 1",,,,,67512483.0,ns,50
"day 2, part 1",,,,,67048477.0,ns,51
"day 2, part 1",,,,,64526577.0,ns,52
"day 2, part 1",,,,,69507543.0,ns,53
"day 2, part 1",,,,,86450492.0,ns,54
"day 2, part 1",,,,,81976637.0,ns,55
"day 2, part 1",,,,,82506497.0,ns,56
"day 2, part 1",,,,,83830041.0,ns,57
"day 2, part 1",,,,,83114252.0,ns,58
"day 2, part 1",,,,,82472420.0,ns,59
"day 2, part 1",,,,,85782326.0,ns,60
"day 2, part 1",,,,,89644197.0,ns,61
"day 2, part 1",,,,,82400134.0,ns,62
"day 2, part 1",,,,,81813194.0,ns,63
"day 2, part 1",,,,,88384342.0,ns,64
"day 2, part 1",,,,,85624997.0,ns,65
"day 2, part 1",,,,,84172594.0,ns,66
"day 2, part 1",,,,,85520906.0,ns,67
"day 2, part 1",,,,,84027881.0,ns,68
"day 2, part 1",,,,,85388533.0,ns,69
"day 2, part 1",,,,,93868654.0,ns,70
"day 2, part 1",,,,,89125283.0,ns,71
"day 2, part 1",,,,,87954212.0,ns,72
"day 2, part 1",,,,,86688366.0,ns,73
"day 2, part 1",,,,,87983573.0,ns,74
"day 2, part 1",,,,,90378384.0,ns,75
"day 2, part 1",,,,,95189600.0,ns,76
"day 2, part 1",,,,,92869349.0,ns,77
"day 2, part 1",,,,,95272031.0,ns,78
"day 2, part 1",,,,,102971249.0,ns,79
"day 2, part 1",,,,,102094678.0,ns,80
"day 2, part 1",,,,,104214678.0,ns,81
"day 2, part 1",,,,,104551070.0,ns,82
"day 2, part 1",,,,,111050171.0,ns,83
"day 2, part 1",,,,,112205125.0,ns,84
"day 2, part 1",,,,,108053697.0,ns,85
"day 2, part 1",,,,,104556055.0,ns,86
"day 2, part 1",,,,,109090718.0,ns,87
"day 2, part 1",,,,,107728236.0,ns,88
"day 2, part 1",,,,,104735499.0,ns,89
"day 2, part 1",,,,,106662874.0,ns,90
"day 2, part 1",,,,,104141935.0,ns,91
"day 2, part 1",,,,,106258013.0,ns,92
"day 2, part 1",,,,,106683139.0,ns,93
"day 2, part 1",,,,,110118559.0,ns,94
"day 2, part 1",,,,,125590039.0,ns,95
"day 2, part 1",,,,,125977622.0,ns,96
"day 2, part 1",,,,,115952736.0,ns,97
"day 2, part 1",,,,,118297028.0,ns,98
"day 2, part 1",,,,,116347857.0,ns,99
"day 2, part 1",,,,,118767064.0,ns,100
