group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 4, part 2",,,,,1946134.0,ns,2
"day 4, part 2",,,,,2951351.0,ns,4
"day 4, part 2",,,,,3682592.0,ns,6
"day 4, part 2",,,,,4986427.0,ns,8
"day 4, part 2",,,,,6164979.0,ns,10
"day 4, part 2",,,,,7061436.0,ns,12
"day 4, part 2",,,,,8515590.0,ns,14
"day 4, part 2",,,,,9518869.0,ns,16
"day 4, part 2",,,,,12697492.0,ns,18
"day 4, part 2",,,,,15438399.0,ns,20
"day 4, part 2",,,,,15130351.0,ns,22
"day 4, part 2",,,,,16156222.0,ns,24
"day 4, part 2",,,,,17208572.0,ns,26
"day 4, part 2",,,,,18407061.0,ns,28
"day 4, part 2",,,,,20490115.0,ns,30
"day 4, part 2",,,,,23169026.0,ns,32
"day 4, part 2",,,,,23063988.0,ns,34
"day 4, part 2",,,,,22228570.0,ns,36
"day 4, part 2",,,,,23076552.0,ns,38
"day 4, part 2",,,,,25926687.0,ns,40
"day 4, part 2",,,,,25362412.0,ns,42
"day 4, part 2",,,,,28241147.0,ns,44
"day 4, part 2",,,,,28270149.0,ns,46
"day 4, part 2",,,,,29465260.0,ns,48
"day 4, part 2",,,,,32132569.0,ns,50
"day 4, part 2",,,,,33808401.0,ns,52
"day 4, part 2",,,,,36249345.0,ns,54
"day 4, part 2",,,,,36539890.0,ns,56
"day 4, part 2",,,,,40015556.0,ns,58
"day 4, part 2",,,,,39890818.0,ns,60
"day 4, part 2",,,,,41518205.0,ns,62
"day 4, part 2",,,,,58013934.0,ns,64
"day 4, part 2",,,,,69739325.0,ns,66
"day 4, part 2",,,,,63468408.0,ns,68
"day 4, part 2",,,,,47146579.0,ns,70
"day 4, part 2",,,,,48564452.0,ns,72
"day 4, part 2",,,,,56065404.0,ns,74
"day 4, part 2",,,,,58227747.0,ns,76
"day 4, part 2",,,,,71450652.0,ns,78
"day 4, part 2",,,,,80619896.0,ns,80
"day 4, part 2",,,,,75497623.0,ns,82
"day 4, part 2",,,,,63905688.0,ns,84
"day 4, part 2",,,,,68392736.0,ns,86
"day 4, part 2",,,,,73058625.0,ns,88
"day 4, part 2",,,,,81135173.0,ns,90
"day 4, part 2",,,,,58747024.0,ns,92
"day 4, part 2",,,,,78999652.0,ns,94
"day 4, part 2",,,,,123438548.0,ns,96
"day 4, part 2",,,,,122316270.0,ns,98
"day 4, part 2",,,,,104535109.0,ns,100
"day 4, part 2",,,,,116338513.0,ns,102
"day 4, part 2",,,,,88235196.0,ns,104
"day 4, part 2",,,,,79792157.0,ns,106
"day 4, part 2",,,,,75480239.0,ns,108
"day 4, part 2",,,,,83402972.0,ns,110
"day 4, part 2",,,,,116116220.0,ns,112
"day 4, part 2",,,,,122606937.0,ns,114
"day 4, part 2",,,,,96070299.0,ns,116
"day 4, part 2",,,,,108852993.0,ns,118
"day 4, part 2",,,,,158744843.0,ns,120
"day 4, part 2",,,,,141968665.0,ns,122
"day 4, part 2",,,,,85570239.0,ns,124
"day 4, part 2",,,,,81803873.0,ns,126
"day 4, part 2",,,,,95236261.0,ns,128
"day 4, part 2",,,,,113231587.0,ns,130
"day 4, part 2",,,,,91523159.0,ns,132
"day 4, part 2",,,,,98209367.0,ns,134
"day 4, part 2",,,,,86881861.0,ns,136
"day 4, part 2",,,,,94264355.0,ns,138
"day 4, part 2",,,,,104354541.0,ns,140
"day 4, part 2",,,,,113664147.0,ns,142
"day 4, part 2",,,,,123003834.0,ns,144
"day 4, part 2",,,,,105827460.0,ns,146
"day 4, part 2",,,,,98806141.0,ns,148
"day 4, part 2",,,,,101121365.0,ns,150
"day 4, part 2",,,,,97023112.0,ns,152
"day 4, part 2",,,,,97772636.0,ns,154
"day 4, part 2",,,,,108148819.0,ns,156
"day 4, part 2",,,,,130587848.0,ns,158
"day 4, part 2",,,,,137079932.0,ns,160
"day 4, part 2",,,,,108810458.0,ns,162
"day 4, part 2",,,,,124634138.0,ns,164
"day 4, part 2",,,,,105284288.0,ns,166
"day 4, part 2",,,,,108138254.0,ns,168
"day 4, part 2",,,,,130892751.0,ns,170
"day 4, part 2",,,,,126275218.0,ns,172
"day 4, part 2",,,,,116764169.0,ns,174
"day 4, part 2",,,,,112160681.0,ns,176
"day 4, part 2",,,,,119211891.0,ns,178
"day 4, part 2",,,,,119541514.0,ns,180
"day 4, part 2",,,,,144774523.0,ns,182
"day 4, part 2",,,,,123900025.0,ns,184
"day 4, part 2",,,,,118586104.0,ns,186
"day 4, part 2",,,,,123964130.0,ns,188
"day 4, part 2",,,,,125029794.0,ns,190
"day 4, part 2",,,,,127074437.0,ns,192
"day 4, part 2",,,,,144505743.0,ns,194
"day 4, part 2",,,,,163708511.0,ns,196
"day 4, part 2",,,,,169482238.0,ns,198
"day 4, part 2",,,,,171788123.0,ns,200
