group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 4, part 1",,,,,1637972.0,ns,2
"day 4, part 1",,,,,2511687.0,ns,4
"day 4, part 1",,,,,5404935.0,ns,6
"day 4, part 1",,,,,5853146.0,ns,8
"day 4, part 1",,,,,6207727.0,ns,10
"day 4, part 1",,,,,7910997.0,ns,12
"day 4, part 1",,,,,8811579.0,ns,14
"day 4, part 1",,,,,10187291.0,ns,16
"day 4, part 1",,,,,11071815.0,ns,18
"day 4, part 1",,,,,13832438.0,ns,20
"day 4, part 1",,,,,13677706.0,ns,22
"day 4, part 1",,,,,17308896.0,ns,24
"day 4, part 1",,,,,15944444.0,ns,26
"day 4, part 1",,,,,17247844.0,ns,28
"day 4, part 1",,,,,19150406.0,ns,30
"day 4, part 1",,,,,19856939.0,ns,32
"day 4, part 1",,,,,21637171.0,ns,34
"day 4, part 1",,,,,21367327.0,ns,36
"day 4, part 1",,,,,23947421.0,ns,38
"day 4, part 1",,,,,23556091.0,ns,40
"day 4, part 1",,,,,25998179.0,ns,42
"day 4, part 1",,,,,26465995.0,ns,44
"day 4, part 1",,,,,27195715.0,ns,46
"day 4, part 1",,,,,28182422.0,ns,48
"day 4, part 1",,,,,29127931.0,ns,50
"day 4, part 1",,,,,32782786.0,ns,52
"day 4, part 1",,,,,32279821.0,ns,54
"day 4, part 1",,,,,33555099.0,ns,56
"day 4, part 1",,,,,34538474.0,ns,58
"day 4, part 1",,,,,40831124.0,ns,60
"day 4, part 1",,,,,42284131.0,ns,62
"day 4, part 1",,,,,60031621.0,ns,64
"day 4, part 1",,,,,68687681.0,ns,66
"day 4, part 1",,,,,45844267.0,ns,68
"day 4, part 1",,,,,48962691.0,ns,70
"day 4, part 1",,,,,52912894.0,ns,72
"day 4, part 1",,,,,56053675.0,ns,74
"day 4, part 1",,,,,56328297.0,ns,76
"day 4, part 1",,,,,50953099.0,ns,78
"day 4, part 1",,,,,52760388.0,ns,80
"day 4, part 1",,,,,56663927.0,ns,82
"day 4, part 1",,,,,56909795.0,ns,84
"day 4, part 1",,,,,59517692.0,ns,86
"day 4, part 1",,,,,53541777.0,ns,88
"day 4, part 1",,,,,55240761.0,ns,90
"day 4, part 1",,,,,54663243.0,ns,92
"day 4, part 1",,,,,59669777.0,ns,94
"day 4, part 1",,,,,66222273.0,ns,96
"day 4, part 1",,,,,56432281.0,ns,98
"day 4, part 1",,,,,62641314.0,ns,100
"day 4, part 1",,,,,65187319.0,ns,102
"day 4, part 1",,,,,66804509.0,ns,104
"day 4, part 1",,,,,67655550.0,ns,106
"day 4, part 1",,,,,63810914.0,ns,108
"day 4, part 1",,,,,74706944.0,ns,110
"day 4, part 1",,,,,78003243.0,ns,112
"day 4, part 1",,,,,70574566.0,ns,114
"day 4, part 1",,,,,87006187.0,ns,116
"day 4, part 1",,,,,74848301.0,ns,118
"day 4, part 1",,,,,74765243.0,ns,120
"day 4, part 1",,,,,75370924.0,ns,122
"day 4, part 1",,,,,74805256.0,ns,124
"day 4, part 1",,,,,77444197.0,ns,126
"day 4, part 1",,,,,75104074.0,ns,128
"day 4, part 1",,,,,79466072.0,ns,130
"day 4, part 1",,,,,121589440.0,ns,132
"day 4, part 1",,,,,90527267.0,ns,134
"day 4, part 1",,,,,89896050.0,ns,136
"day 4, part 1",,,,,115331211.0,ns,138
"day 4, part 1",,,,,95470240.0,ns,140
"day 4, part 1",,,,,102778479.0,ns,142
"day 4, part 1",,,,,98573793.0,ns,144
"day 4, part 1",,,,,86767765.0,ns,146
"day 4, part 1",,,,,87888526.0,ns,148
"day 4, part 1",,,,,102048643.0,ns,150
"day 4, part 1",,,,,93339447.0,ns,152
"day 4, part 1",,,,,92947732.0,ns,154
"day 4, part 1",,,,,103312437.0,ns,156
"day 4, part 1",,,,,100585132.0,ns,158
"day 4, part 1",,,,,107392716.0,ns,160
"day 4, part 1",,,,,113276297.0,ns,162
"day 4, part 1",,,,,112734282.0,ns,164
"day 4, part 1",,,,,97200167.0,ns,166
"day 4, part 1",,,,,99740762.0,ns,168
"day 4, part 1",,,,,110618666.0,ns,170
"day 4, part 1",,,,,107374980.0,ns,172
"day 4, part 1",,,,,99604197.0,ns,174
"day 4, part 1",,,,,108637277.0,ns,176
"day 4, part 1",,,,,118060287.0,ns,178
"day 4, part 1",,,,,128506450.0,ns,180
"day 4, part 1",,,,,131614392.0,ns,182
"day 4, part 1",,,,,143071436.0,ns,184
"day 4, part 1",,,,,119861121.0,ns,186
"day 4, part 1",,,,,122162479.0,ns,188
"day 4, part 1",,,,,127579283.0,ns,190
"day 4, part 1",,,,,149860520.0,ns,192
"day 4, part 1",,,,,164385366.0,ns,194
"day 4, part 1",,,,,133895493.0,ns,196
"day 4, part 1",,,,,136832869.0,ns,198
"day 4, part 1",,,,,135881766.0,ns,200
