group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"day 3, part 2",,,,,55830011.0,ns,10
"day 3, part 2",,,,,66475609.0,ns,10
"day 3, part 2",,,,,58622774.0,ns,10
"day 3, part 2",,,,,52493178.0,ns,10
"day 3, part 2",,,,,57032070.0,ns,10
"day 3, part 2",,,,,54497758.0,ns,10
"day 3, part 2",,,,,56398743.0,ns,10
"day 3, part 2",,,,,56375546.0,ns,10
"day 3, part 2",,,,,47515133.0,ns,10
"day 3, part 2",,,,,45667076.0,ns,10
"day 3, part 2",,,,,45492793.0,ns,10
"day 3, part 2",,,,,47205674.0,ns,10
"day 3, part 2",,,,,52910974.0,ns,10
"day 3, part 2",,,,,46076608.0,ns,10
"day 3, part 2",,,,,46326045.0,ns,10
"day 3, part 2",,,,,46732553.0,ns,10
"day 3, part 2",,,,,45560596.0,ns,10
"day 3, part 2",,,,,47982549.0,ns,10
"day 3, part 2",,,,,46389907.0,ns,10
"day 3, part 2",,,,,48841299.0,ns,10
"day 3, part 2",,,,,46225508.0,ns,10
"day 3, part 2",,,,,45210203.0,ns,10
"day 3, part 2",,,,,50081818.0,ns,10
"day 3, part 2",,,,,60322022.0,ns,10
"day 3, part 2",,,,,52768466.0,ns,10
"day 3, part 2",,,,,50729549.0,ns,10
"day 3, part 2",,,,,51743549.0,ns,10
"day 3, part 2",,,,,53590352.0,ns,10
"day 3, part 2",,,,,52726992.0,ns,10
"day 3, part 2",,,,,50803424.0,ns,10
"day 3, part 2",,,,,49927797.0,ns,10
"day 3, part 2",,,,,51152305.0,ns,10
"day 3, part 2",,,,,45977773.0,ns,10
"day 3, part 2",,,,,45686243.0,ns,10
"day 3, part 2",,,,,45398591.0,ns,10
"day 3, part 2",,,,,48320148.0,ns,10
"day 3, part 2",,,,,49018652.0,ns,10
"day 3, part 2",,,,,49960476.0,ns,10
"day 3, part 2",,,,,51384857.0,ns,10
"day 3, part 2",,,,,57249642.0,ns,10
"day 3, part 2",,,,,54515710.0,ns,10
"day 3, part 2",,,,,49118020.0,ns,10
"day 3, part 2",,,,,47140409.0,ns,10
"day 3, part 2",,,,,53039256.0,ns,10
"day 3, part 2",,,,,55403337.0,ns,10
"day 3, part 2",,,,,59412748.0,ns,10
"day 3, part 2",,,,,50579267.0,ns,10
"day 3, part 2",,,,,51689692.0,ns,10
"day 3, part 2",,,,,49424881.0,ns,10
"day 3, part 2",,,,,46689554.0,ns,10
"day 3, part 2",,,,,48223739.0,ns,10
"day 3, part 2",,,,,47744271.0,ns,10
"day 3, part 2",,,,,48882530.0,ns,10
"day 3, part 2",,,,,47147328.0,ns,10
"day 3, part 2",,,,,46303743.0,ns,10
"day 3, part 2",,,,,49222361.0,ns,10
"day 3, part 2",,,,,67410643.0,ns,10
"day 3, part 2",,,,,52067373.0,ns,10
"day 3, part 2",,,,,65214339.0,ns,10
"day 3, part 2",,,,,81302878.0,ns,10
"day 3, part 2",,,,,83682139.0,ns,10
"day 3, part 2",,,,,63480260.0,ns,10
"day 3, part 2",,,,,71046333.0,ns,10
"day 3, part 2",,,,,81753595.0,ns,10
"day 3, part 2",,,,,79270181.0,ns,10
"day 3, part 2",,,,,76039360.0,ns,10
"day 3, part 2",,,,,48319893.0,ns,10
"day 3, part 2",,,,,49407926.0,ns,10
"day 3, part 2",,,,,57846043.0,ns,10
"day 3, part 2",,,,,56766784.0,ns,10
"day 3, part 2",,,,,57990845.0,ns,10
"day 3, part 2",,,,,58145486.0,ns,10
"day 3, part 2",,,,,56145076.0,ns,10
"day 3, part 2",,,,,47651646.0,ns,10
"day 3, part 2",,,,,48933577.0,ns,10
"day 3, part 2",,,,,49331131.0,ns,10
"day 3, part 2",,,,,46870067.0,ns,10
"day 3, part 2",,,,,48578996.0,ns,10
"day 3, part 2",,,,,48217121.0,ns,10
"day 3, part 2",,,,,47971900.0,ns,10
"day 3, part 2",,,,,48984048.0,ns,10
"day 3, part 2",,,,,47936120.0,ns,10
"day 3, part 2",,,,,49117405.0,ns,10
"day 3, part 2",,,,,52736027.0,ns,10
"day 3, part 2",,,,,59680497.0,ns,10
"day 3, part 2",,,,,76857729.0,ns,10
"day 3, part 2",,,,,66529800.0,ns,10
"day 3, part 2",,,,,52330241.0,ns,10
"day 3, part 2",,,,,53506497.0,ns,10
"day 3, part 2",,,,,55003065.0,ns,10
"day 3, part 2",,,,,47603479.0,ns,10
"day 3, part 2",,,,,48379384.0,ns,10
"day 3, part 2",,,,,46911319.0,ns,10
"day 3, part 2",,,,,47434254.0,ns,10
"day 3, part 2",,,,,55697673.0,ns,10
"day 3, part 2",,,,,49868714.0,ns,10
"day 3, part 2",,,,,59918242.0,ns,10
"day 3, part 2",,,,,55800771.0,ns,10
"day 3, part 2",,,,,50166635.0,ns,10
"day 3, part 2",,,,,52959062.0,ns,10
